type	id_in_tp	id_in_bigg	descripation	old_bigg_ids	feature_tp	feature_bigg	notes
rea	2HXICDH	2HXICDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2MBALDH	2MBALDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2MBAt6	2MBAt6	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	3MBALt	3MBALt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	AALDH	AALDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ABUTt2r	ABUTt2r	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACALD	ACALD	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACALDt	ACALDt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACKr	ACKr	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACOTA	ACOTA	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACTNdiff	ACTNdiff	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACt2r	ACt2r	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ADEt2	ADEt2	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ADK1	ADK1	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ADK2	ADK2	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ADPTA	ADPTA	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	AGPR	AGPR	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	AICART	AICART	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ALAR	ALAR	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ALATA_L	ALATA_L	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ALAt2r	ALAt2r	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ALCD19	ALCD19	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ALCD2x	ALCD2x	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ARAB_Lt	ARAB_Lt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ARAI	ARAI	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ARGSL	ARGSL	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ARGt2r	ARGt2r	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ASAD	ASAD	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ASPK	ASPK	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ASPR	ASPR	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ASPTA	ASPTA	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ASPTA2	ASPTA2	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ASPTA4	ASPTA4	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
