type	id_in_tp	id_in_bigg	descripation	old_bigg_ids	feature_tp	feature_bigg	notes
rea	2H3MBDH	2H3MBDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2H3MPDH	2H3MPDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2HXICDH	2HXICDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2MBALDH	2MBALDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2MBALDt	2MBALDt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2MBAt6	2MBAt6	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2MPAt6	2MPAt6	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	2S6HCCi	2S6HCCi	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	3MBALt	3MBALt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	3MBAt6	3MBAt6	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	4ABZt	4ABZt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	AALDH	AALDH	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ABUTt2r	ABUTt2r	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACACT1r	ACACT1r	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACALD	ACALD	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACALDt	ACALDt	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACKr	ACKr	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACOATA	ACOATA	id in bigg(bounds different)		(-1000.0, 1000.0)	(0.0, 1000.0)	
rea	ACONT	ACONT	id in bigg(bounds different)		(0.0, 0.0)	(0.0, 1000.0)	
