type	id_in_tp	id_in_bigg	new_id	descripation	old_bigg_ids	feature_tp	feature_bigg	diff	notes
met	4mop_c	4mop_c		id in bigg					
met	etha_c	etha_c		id in bigg					
met	acgal6p_c	acgal6p_c		id in bigg					
met	udpg_c	udpg_c		id in bigg					
met	fgam_c	fgam_c		id in bigg					
met	succ_c	succ_c		id in bigg					
met	aps_c	aps_c		id in bigg					
met	nicrnt_c	nicrnt_c		id in bigg					
met	actn__R_e	actn__R_e		id in bigg					
met	pydxn_c	pydxn_c		id in bigg					
met	acg5sa_c	acg5sa_c		id in bigg					
met	dgsn_c	dgsn_c		id in bigg					
met	paps_c	paps_c		id in bigg					
met	dhap_c	dhap_c		id in bigg					
met	fum_c	fum_c		id in bigg					
met	2dr1p_c	2dr1p_c		id in bigg					
met	spmd_e	spmd_e		id in bigg					
met	4ppan_c	4ppan_c		id in bigg					
met	10fthf_c	10fthf_c		id in bigg					
met	2tdeacp_c	2tdeacp_c		id in bigg					
met	2ddglcn_c	2ddglcn_c		id in bigg					
met	cbasp_c	cbasp_c		id in bigg					
met	trnaphe_c	trnaphe_c		id in bigg					
met	pppi_c	pppi_c		id in bigg					
met	argsuc_c	argsuc_c		id in bigg					
met	thr__L_e	thr__L_e		id in bigg					
met	chor_c	chor_c		id in bigg					
met	glyc3p_c	glyc3p_c		id in bigg					
met	eig3p_c	eig3p_c		id in bigg					
met	tyr__L_e	tyr__L_e		id in bigg					
met	dha_e	dha_e		id in bigg					
met	for_e	for_e		id in bigg					
met	2hxic__L_e	2hxic__L_e		id in bigg					
met	2mba_e	2mba_e		id in bigg					
met	hco3_c	hco3_c		id in bigg					
met	4abut_e	4abut_e		id in bigg					
met	diact_e	diact_e		id in bigg					
met	ipdp_c	ipdp_c		id in bigg					
met	unagamagp_c	unagamagp_c		id in bigg					
met	sucsal_c	sucsal_c		id in bigg					
met	lystrna_c	lystrna_c		id in bigg					
met	h2o2_c	h2o2_c		id in bigg					
met	prbamp_c	prbamp_c		id in bigg					
met	g3p_c	g3p_c		id in bigg					
met	trnalys_c	trnalys_c		id in bigg					
met	nadp_c	nadp_c		id in bigg					
met	35cdamp_c	35cdamp_c		id in bigg					
met	ile__L_e	ile__L_e		id in bigg					
met	3ig3p_c	3ig3p_c		id in bigg					
met	ahcys_c	ahcys_c		id in bigg					
met	co2_c	co2_c		id in bigg					
met	trnagly_c	trnagly_c		id in bigg					
met	dhnpt_c	dhnpt_c		id in bigg					
met	phenol_e	phenol_e		id in bigg					
met	pea_c	pea_c		id in bigg					
met	pep_c	pep_c		id in bigg					
met	trnamet_c	trnamet_c		id in bigg					
met	acmam_c	acmam_c		id in bigg					
met	pro__L_c	pro__L_c		id in bigg					
met	pro__L_e	pro__L_e		id in bigg					
met	tre_e	tre_e		id in bigg					
met	bzal_c	bzal_c		id in bigg					
met	fuc__L_c	fuc__L_c		id in bigg					
met	hisp_c	hisp_c		id in bigg					
met	5dpmev_c	5dpmev_c		id in bigg					
met	inost_c	inost_c		id in bigg					
met	air_c	air_c		id in bigg					
met	dhpt_c	dhpt_c		id in bigg					
met	2cocdacp_c	2cocdacp_c		id in bigg					
met	gln__L_e	gln__L_e		id in bigg					
met	nh4_c	nh4_c		id in bigg					
met	2mba_c	2mba_c		id in bigg					
met	26dap__M_c	26dap__M_c		id in bigg					
met	pan4p_c	pan4p_c		id in bigg					
met	dhpmp_c	dhpmp_c		id in bigg					
met	cpocdacp_c	cpocdacp_c		id in bigg					
met	etoh_c	etoh_c		id in bigg					
met	hcys__L_c	hcys__L_c		id in bigg					
met	lac__L_e	lac__L_e		id in bigg					
met	pant__R_c	pant__R_c		id in bigg					
met	h2o_e	h2o_e		id in bigg					
met	2beacp_c	2beacp_c		id in bigg					
met	alatrna_c	alatrna_c		id in bigg					
met	udpgal_c	udpgal_c		id in bigg					
met	3hbacp_c	3hbacp_c		id in bigg					
met	4mhetz_c	4mhetz_c		id in bigg					
met	galt1p_c	galt1p_c		id in bigg					
met	3hmp_c	3hmp_c		id in bigg					
met	aspsa_c	aspsa_c		id in bigg					
met	2aeppn_e	2aeppn_e		id in bigg					
met	uacgam_c	uacgam_c		id in bigg					
met	gsn_c	gsn_c		id in bigg					
met	5fothf_c	5fothf_c		id in bigg					
met	2pg_c	2pg_c		id in bigg					
met	orot_c	orot_c		id in bigg					
met	glcn__D_c	glcn__D_c		id in bigg					
met	mql7_c	mql7_c		id in bigg					
met	trptrna_c	trptrna_c		id in bigg					
met	3dhq_c	3dhq_c		id in bigg					
met	dcmp_c	dcmp_c		id in bigg					
met	h2s_c	h2s_c		id in bigg					
met	ura_c	ura_c		id in bigg					
met	csn_e	csn_e		id in bigg					
met	2obut_c	2obut_c		id in bigg					
met	argtrna_c	argtrna_c		id in bigg					
met	db4p_c	db4p_c		id in bigg					
met	gthox_c	gthox_c		id in bigg					
met	man_e	man_e		id in bigg					
met	aicar_c	aicar_c		id in bigg					
met	skm_c	skm_c		id in bigg					
met	unRTA_c	unRTA_c		id in bigg					
met	h_e	h_e		id in bigg					
met	g6p_c	g6p_c		id in bigg					
met	thdp_c	thdp_c		id in bigg					
met	acglu_c	acglu_c		id in bigg					
met	met__L_e	met__L_e		id in bigg					
met	arab__L_c	arab__L_c		id in bigg					
met	no3_e	no3_e		id in bigg					
met	ser__L_e	ser__L_e		id in bigg					
met	xu5p__D_c	xu5p__D_c		id in bigg					
met	lac__L_c	lac__L_c		id in bigg					
met	hmgcoa_c	hmgcoa_c		id in bigg					
met	gam1p_c	gam1p_c		id in bigg					
met	duri_c	duri_c		id in bigg					
met	acp_c	acp_c		id in bigg					
met	acald_e	acald_e		id in bigg					
met	glyc_e	glyc_e		id in bigg					
met	oaa_c	oaa_c		id in bigg					
met	ocdacp_c	ocdacp_c		id in bigg					
met	orot_e	orot_e		id in bigg					
met	5mtr_c	5mtr_c		id in bigg					
met	sertrna_c	sertrna_c		id in bigg					
met	prbatp_c	prbatp_c		id in bigg					
met	3oxocacp_c	3oxocacp_c		id in bigg					
met	acorn_c	acorn_c		id in bigg					
met	acgal_e	acgal_e		id in bigg					
met	mercppyr_c	mercppyr_c		id in bigg					
met	ribflv_c	ribflv_c		id in bigg					
met	pyr_e	pyr_e		id in bigg					
met	mn2_c	mn2_c		id in bigg					
met	3hhacp_c	3hhacp_c		id in bigg					
met	his__L_c	his__L_c		id in bigg					
met	malacp_c	malacp_c		id in bigg					
met	cystrna_c	cystrna_c		id in bigg					
met	3hddacp_c	3hddacp_c		id in bigg					
met	trnaser_c	trnaser_c		id in bigg					
