Var1	Var2
RXN-16244	astaxanthin dirhamnoside biosynthesis
RXN66-21	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16243	
LINALOOL-8-MONOOXYGENASE-RXN	
RXN-16242	autoinducer CAI-1 biosynthesis
RXN66-20	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16241	autoinducer CAI-1 biosynthesis
LINABSPON-RXN	gamma-hexachlorocyclohexane degradation
RXN-16240	autoinducer CAI-1 biosynthesis
RXN66-2	ethanol degradation III
RXN-16239	naphthalene degradation (anaerobic)
LINA2-RXN	gamma-hexachlorocyclohexane degradation
RXN-16238	
RXN66-19	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16237	
LINA1-RXN	gamma-hexachlorocyclohexane degradation
RXN-16236	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
RXN66-185	bupropion degradation
RXN-16235	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
LIMONIN-D-RING-LACTONASE-RXN	
RXN-16234	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
RXN66-184	bupropion degradation
RXN-16233	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN	
RXN-16232	hispidol and hispidol 4'-O-beta-D-glucoside biosynthesis
RXN66-183	bupropion degradation
RXN-1623	diacylglycerol and triacylglycerol biosynthesis	CDP-diacylglycerol biosynthesis I
LICODIONE-2-O-METHYLTRANSFERASE-RXN	echinatin biosynthesis
RXN-16228	
RXN66-182	bupropion degradation
RXN-16227	3,5-dichlorocatechol degradation
LEVANSUCRASE-RXN	
RXN-16226	
RXN66-181	bupropion degradation
RXN-16225	
LEUKOTRIENE-E4-20-MONOOXYGENASE-RXN	
RXN-16224	
RXN66-18	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16219	vernolate biosynthesis III
LEUKOTRIENE-C4-SYNTHASE-RXN	leukotriene biosynthesis
RXN-16218	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
RXN66-170	nicotine degradation V
RXN-16217	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
LEUKOTRIENE-B4-20-MONOOXYGENASE-RXN	
RXN-16216	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
RXN66-17	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16215	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
LEUKOTRIENE-A4-HYDROLASE-RXN	leukotriene biosynthesis
RXN-16214	
RXN66-169	nicotine degradation V
RXN-16212	gliotoxin inactivation
LEUCPEL-RXN	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)
RXN-16211	gliotoxin inactivation
RXN66-168	nicotine degradation V
RXN-16210	furaneol and mesifurane biosynthesis
LEUCINE-N-ACETYLTRANSFERASE-RXN	
RXN-16208	gliotoxin inactivation
RXN66-167	nicotine degradation V
RXN-16207	aspirin triggered resolvin D biosynthesis
LEUCINE-DEHYDROGENASE-RXN	
RXN-16206	resolvin D biosynthesis
RXN66-166	nicotine degradation V
RXN-16205	4-methylphenol degradation to protocatechuate
LEUCINE-23-AMINOMUTASE-RXN	L-leucine degradation II
RXN-16204	4-methylphenol degradation to protocatechuate
RXN66-165	nicotine degradation V
RXN-16203	methiin metabolism
LEGHEMOGLOBIN-REDUCTASE-RXN	
RXN-16202	methiin metabolism
RXN66-164	nicotine degradation V
RXN-16201	methiin metabolism
LCYSDESULF-RXN	hydrogen sulfide biosynthesis II (mammalian)
RXN-16200	ethiin metabolism
RXN66-163	nicotine degradation V
RXN-16199	methiin metabolism
LCARNCOALIG-RXN	L-carnitine degradation I
RXN-16198	alliin metabolism
RXN66-162	nicotine degradation V
RXN-16197	alliin metabolism
LANOSTEROL-SYNTHASE-RXN	lanosterol biosynthesis
RXN-16195	alliin metabolism
RXN66-161	nicotine degradation V
RXN-16194	alliin metabolism
LAMINARIBIOSE-PHOSPHORYLASE-RXN	laminaribiose degradation
RXN-16193	alliin metabolism	propanethial S-oxide biosynthesis
RXN66-16	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16192	propanethial S-oxide biosynthesis
LACTOYL-COA-DEHYDRATASE-RXN	pyruvate fermentation to propanoate II (acrylate pathway)
RXN-16191	propanethial S-oxide biosynthesis
RXN66-15	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
RXN-16190	propanethial S-oxide biosynthesis
LACTOSE6P-HYDROXY-RXN	lactose and galactose degradation I
RXN-16188	chaetoglobosin A biosynthesis
RXN66-147	nicotine degradation IV
RXN-16187	chaetoglobosin A biosynthesis
LACTOSE-SYNTHASE-RXN	
RXN-16186	chaetoglobosin A biosynthesis
RXN66-146	nicotine degradation IV
RXN-16185	chaetoglobosin A biosynthesis
LACTOSE-DEHYDRO-RXN	lactose degradation II
RXN-16184	chaetoglobosin A biosynthesis
RXN66-145	nicotine degradation IV	nicotine degradation V
RXN-16183	chaetoglobosin A biosynthesis
LACTOSE-6-PHOSPHATE-ISOMERASE-RXN	lactose and galactose degradation I
RXN-16182	chaetoglobosin A biosynthesis
RXN66-144	nicotine degradation IV	nicotine degradation V
RXN-16177	
RXN-17909	
LACTATE-RACEMASE-RXN	
RXN-16176	methiin metabolism
RXN66-142	nicotine degradation IV	nicotine degradation V
RXN-16175	
LACTATE-MALATE-TRANSHYDROGENASE-RXN	
RXN-16174	
RXN66-141	nicotine degradation IV	nicotine degradation V
RXN-16173	brassinosteroid biosynthesis I
LACTATE-ALDOLASE-RXN	
RXN-16172	brassinosteroid biosynthesis I
