Var1	Var2
R00002	
R00004	
R00005	Arginine biosynthesis	Atrazine degradation
R00006	
R00008	Benzoate degradation	C5-Branched dibasic acid metabolism
R00009	Glyoxylate and dicarboxylate metabolism
R00010	Starch and sucrose metabolism
R00011	
R00012	
R00013	Glyoxylate and dicarboxylate metabolism
R00014	Glycolysis / Gluconeogenesis	Citrate cycle (TCA cycle)	Pyruvate metabolism
R00015	
R00017	
R00018	Tropane, piperidine and pyridine alkaloid biosynthesis
R00019	
R00021	Glyoxylate and dicarboxylate metabolism	Nitrogen metabolism
R00022	Amino sugar and nucleotide sugar metabolism
R00023	
R00024	Carbon fixation in photosynthetic organisms
R00025	Nitrogen metabolism
R00026	
R00027	
R00028	Starch and sucrose metabolism
R00029	
R00031	Tyrosine metabolism	Isoquinoline alkaloid biosynthesis
R00032	Retinol metabolism
R00033	Thiamine metabolism
R00036	Porphyrin and chlorophyll metabolism
R00038	
R00039	
R00041	
R00042	Tyrosine metabolism
R00043	
R00044	Isoquinoline alkaloid biosynthesis
R00045	Tyrosine metabolism
R00047	
R00048	Butanoate metabolism
R00049	
R00052	
R00053	
R00054	
R00055	
R00057	
R00058	
R00059	Caprolactam degradation
R00060	
R00061	
R00062	
R00063	
R00066	Riboflavin metabolism
R00067	
R00068	Ascorbate and aldarate metabolism
R00069	Histidine metabolism
R00070	Porphyrin and chlorophyll metabolism
R00072	Thiamine metabolism
R00073	Arachidonic acid metabolism
R00074	Tryptophan metabolism
R00075	
R00076	
R00077	
R00078	Porphyrin and chlorophyll metabolism
R00080	
R00081	
R00082	
R00084	Porphyrin and chlorophyll metabolism
R00085	
R00086	Purine metabolism
R00087	Purine metabolism
R00088	
R00089	Purine metabolism
R00090	
R00091	
R00092	
R00093	Alanine, aspartate and glutamate metabolism	Nitrogen metabolism
R00094	
R00095	Ascorbate and aldarate metabolism
R00097	Porphyrin and chlorophyll metabolism
R00099	Porphyrin and chlorophyll metabolism
R00100	Amino sugar and nucleotide sugar metabolism
R00101	
R00102	Nicotinate and nicotinamide metabolism
R00103	Nicotinate and nicotinamide metabolism
R00104	Nicotinate and nicotinamide metabolism
R00105	
R00106	
R00107	Porphyrin and chlorophyll metabolism
R00108	
R00109	
R00111	Arginine and proline metabolism
R00112	Nicotinate and nicotinamide metabolism
R00113	
R00114	Alanine, aspartate and glutamate metabolism	Nitrogen metabolism
R00115	Glutathione metabolism
R00118	Nicotinate and nicotinamide metabolism
R00119	Nicotinate and nicotinamide metabolism
R00120	Glutathione metabolism
R00122	Purine metabolism
R00123	
R00125	Purine metabolism
R00126	Purine metabolism
R00127	Purine metabolism
R00128	Purine metabolism
R00129	
R00130	Pantothenate and CoA biosynthesis
R00131	Arginine biosynthesis	Purine metabolism	Atrazine degradation
R00132	
R00134	Methane metabolism	Carbon fixation pathways in prokaryotes
R00137	Nicotinate and nicotinamide metabolism
R00138	
R00139	Pyrimidine metabolism
R00140	Pyrimidine metabolism
R00141	
R00143	Nitrogen metabolism
R00148	Nitrogen metabolism
R00149	Arginine biosynthesis	Alanine, aspartate and glutamate metabolism	Nitrogen metabolism
R00150	Arginine biosynthesis	Purine metabolism
R00152	Cyanoamino acid metabolism
R00153	
R00155	Pyrimidine metabolism
R00156	Pyrimidine metabolism
R00157	
R00158	Pyrimidine metabolism
R00159	Pyrimidine metabolism
R00160	Riboflavin metabolism
R00161	Riboflavin metabolism
R00164	
R00173	Vitamin B6 metabolism
R00174	Vitamin B6 metabolism
R00175	
R00177	Cysteine and methionine metabolism
R00178	Cysteine and methionine metabolism	Arginine and proline metabolism
R00179	Cysteine and methionine metabolism
R00180	
R00181	Purine metabolism
R00182	Purine metabolism
R00183	Purine metabolism
R00184	Purine metabolism
R00185	Purine metabolism
R00187	Purine metabolism
R00188	
R00189	Nicotinate and nicotinamide metabolism
R00190	Purine metabolism
R00191	Purine metabolism
R00192	Cysteine and methionine metabolism
R00193	
R00194	Cysteine and methionine metabolism
R00195	
R00196	Pyruvate metabolism
R00197	Pyruvate metabolism
R00198	Pyruvate metabolism
R00199	Pyruvate metabolism	Methane metabolism	Carbon fixation pathways in prokaryotes
R00200	Glycolysis / Gluconeogenesis	Purine metabolism	Pyruvate metabolism
R00203	Pyruvate metabolism
R00205	Pyruvate metabolism
R00206	Pyruvate metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation pathways in prokaryotes
R00207	Pyruvate metabolism
R00208	
R00209	
R00210	
R00211	Pyruvate metabolism
R00212	Pyruvate metabolism	Butanoate metabolism
R00213	
R00214	Pyruvate metabolism	Carbon fixation in photosynthetic organisms
R00215	Butanoate metabolism
R00216	Pyruvate metabolism	Carbon fixation in photosynthetic organisms
R00217	Pyruvate metabolism
R00218	Pyruvate metabolism
R00219	Pyruvate metabolism
R00220	Glycine, serine and threonine metabolism
R00221	Glycine, serine and threonine metabolism
R00223	
R00224	
R00226	Valine, leucine and isoleucine biosynthesis	Butanoate metabolism	C5-Branched dibasic acid metabolism	Pantothenate and CoA biosynthesis
R00227	Pyruvate metabolism
R00228	Phenylalanine metabolism	Benzoate degradation	Pyruvate metabolism	Dioxin degradation	Xylene degradation
R00229	Glycolysis / Gluconeogenesis	Pyruvate metabolism
R00230	Taurine and hypotaurine metabolism	Pyruvate metabolism	Methane metabolism	Carbon fixation pathways in prokaryotes
R00233	beta-Alanine metabolism	Propanoate metabolism
