model	type	id_in_tp	new_id	id_in_bigg	name	formula	charge	metabolites	reactions	bounds	gpr	descripation	old_bigg_ids	feature_tp	feature_bigg	diff	notes	annotation
iBT721	met	4mop_c		4mop_c								id in bigg						
iBT721	met	etha_c		etha_c								id in bigg						
iBT721	met	acgal6p_c		acgal6p_c								id in bigg						
iBT721	met	udpg_c		udpg_c								id in bigg						
iBT721	met	fgam_c		fgam_c								id in bigg						
iBT721	met	succ_c		succ_c								id in bigg						
iBT721	met	aps_c		aps_c								id in bigg						
iBT721	met	nicrnt_c		nicrnt_c								id in bigg						
iBT721	met	actn__R_e		actn__R_e								id in bigg						
iBT721	met	pydxn_c		pydxn_c								id in bigg						
iBT721	met	acg5sa_c		acg5sa_c								id in bigg						
iBT721	met	dgsn_c		dgsn_c								id in bigg						
iBT721	met	paps_c		paps_c								id in bigg						
iBT721	met	dhap_c		dhap_c								id in bigg						
iBT721	met	fum_c		fum_c								id in bigg						
iBT721	met	2dr1p_c		2dr1p_c								id in bigg						
iBT721	met	spmd_e		spmd_e								id in bigg						
iBT721	met	4ppan_c		4ppan_c								id in bigg						
iBT721	met	10fthf_c		10fthf_c								id in bigg						
iBT721	met	2tdeacp_c		2tdeacp_c								id in bigg						
iBT721	met	2ddglcn_c		2ddglcn_c								id in bigg						
iBT721	met	cbasp_c		cbasp_c								id in bigg						
iBT721	met	trnaphe_c		trnaphe_c								id in bigg						
iBT721	met	pppi_c		pppi_c								id in bigg						
iBT721	met	argsuc_c		argsuc_c								id in bigg						
iBT721	met	thr__L_e		thr__L_e								id in bigg						
iBT721	met	chor_c		chor_c								id in bigg						
iBT721	met	glyc3p_c		glyc3p_c								id in bigg						
iBT721	met	eig3p_c		eig3p_c								id in bigg						
iBT721	met	tyr__L_e		tyr__L_e								id in bigg						
iBT721	met	dha_e		dha_e								id in bigg						
iBT721	met	for_e		for_e								id in bigg						
iBT721	met	2hxic__L_e		2hxic__L_e								id in bigg						
iBT721	met	2mba_e		2mba_e								id in bigg						
iBT721	met	hco3_c		hco3_c								id in bigg						
iBT721	met	4abut_e		4abut_e								id in bigg						
iBT721	met	diact_e		diact_e								id in bigg						
iBT721	met	ipdp_c		ipdp_c								id in bigg						
iBT721	met	unagamagp_c		unagamagp_c								id in bigg						
iBT721	met	sucsal_c		sucsal_c								id in bigg						
iBT721	met	lystrna_c		lystrna_c								id in bigg						
iBT721	met	h2o2_c		h2o2_c								id in bigg						
iBT721	met	prbamp_c		prbamp_c								id in bigg						
iBT721	met	g3p_c		g3p_c								id in bigg						
iBT721	met	trnalys_c		trnalys_c								id in bigg						
iBT721	met	nadp_c		nadp_c								id in bigg						
iBT721	met	35cdamp_c		35cdamp_c								id in bigg						
iBT721	met	ile__L_e		ile__L_e								id in bigg						
iBT721	met	3ig3p_c		3ig3p_c								id in bigg						
iBT721	met	ahcys_c		ahcys_c								id in bigg						
iBT721	met	co2_c		co2_c								id in bigg						
iBT721	met	trnagly_c		trnagly_c								id in bigg						
iBT721	met	dhnpt_c		dhnpt_c								id in bigg						
iBT721	met	phenol_e		phenol_e								id in bigg						
iBT721	met	pea_c		pea_c								id in bigg						
iBT721	met	pep_c		pep_c								id in bigg						
iBT721	met	trnamet_c		trnamet_c								id in bigg						
iBT721	met	acmam_c		acmam_c								id in bigg						
iBT721	met	pro__L_c		pro__L_c								id in bigg						
iBT721	met	pro__L_e		pro__L_e								id in bigg						
iBT721	met	tre_e		tre_e								id in bigg						
iBT721	met	bzal_c		bzal_c								id in bigg						
iBT721	met	fuc__L_c		fuc__L_c								id in bigg						
iBT721	met	hisp_c		hisp_c								id in bigg						
iBT721	met	5dpmev_c		5dpmev_c								id in bigg						
iBT721	met	inost_c		inost_c								id in bigg						
iBT721	met	air_c		air_c								id in bigg						
iBT721	met	dhpt_c		dhpt_c								id in bigg						
iBT721	met	2cocdacp_c		2cocdacp_c								id in bigg						
iBT721	met	gln__L_e		gln__L_e								id in bigg						
iBT721	met	nh4_c		nh4_c								id in bigg						
iBT721	met	2mba_c		2mba_c								id in bigg						
iBT721	met	26dap__M_c		26dap__M_c								id in bigg						
iBT721	met	pan4p_c		pan4p_c								id in bigg						
iBT721	met	dhpmp_c		dhpmp_c								id in bigg						
iBT721	met	cpocdacp_c		cpocdacp_c								id in bigg						
iBT721	met	etoh_c		etoh_c								id in bigg						
iBT721	met	hcys__L_c		hcys__L_c								id in bigg						
iBT721	met	lac__L_e		lac__L_e								id in bigg						
iBT721	met	pant__R_c		pant__R_c								id in bigg						
iBT721	met	h2o_e		h2o_e								id in bigg						
iBT721	met	2beacp_c		2beacp_c								id in bigg						
iBT721	met	alatrna_c		alatrna_c								id in bigg						
iBT721	met	udpgal_c		udpgal_c								id in bigg						
iBT721	met	3hbacp_c		3hbacp_c								id in bigg						
iBT721	met	4mhetz_c		4mhetz_c								id in bigg						
iBT721	met	galt1p_c		galt1p_c								id in bigg						
iBT721	met	3hmp_c		3hmp_c								id in bigg						
iBT721	met	aspsa_c		aspsa_c								id in bigg						
iBT721	met	2aeppn_e		2aeppn_e								id in bigg						
iBT721	met	uacgam_c		uacgam_c								id in bigg						
iBT721	met	gsn_c		gsn_c								id in bigg						
iBT721	met	5fothf_c		5fothf_c								id in bigg						
iBT721	met	2pg_c		2pg_c								id in bigg						
iBT721	met	orot_c		orot_c								id in bigg						
iBT721	met	glcn__D_c		glcn__D_c								id in bigg						
iBT721	met	mql7_c		mql7_c								id in bigg						
iBT721	met	trptrna_c		trptrna_c								id in bigg						
iBT721	met	3dhq_c		3dhq_c								id in bigg						
iBT721	met	dcmp_c		dcmp_c								id in bigg						
iBT721	met	h2s_c		h2s_c								id in bigg						
iBT721	met	ura_c		ura_c								id in bigg						
iBT721	met	csn_e		csn_e								id in bigg						
iBT721	met	2obut_c		2obut_c								id in bigg						
iBT721	met	argtrna_c		argtrna_c								id in bigg						
iBT721	met	db4p_c		db4p_c								id in bigg						
iBT721	met	gthox_c		gthox_c								id in bigg						
iBT721	met	man_e		man_e								id in bigg						
iBT721	met	aicar_c		aicar_c								id in bigg						
iBT721	met	skm_c		skm_c								id in bigg						
iBT721	met	unRTA_c		unRTA_c								id in bigg						
iBT721	met	h_e		h_e								id in bigg						
iBT721	met	g6p_c		g6p_c								id in bigg						
iBT721	met	thdp_c		thdp_c								id in bigg						
iBT721	met	acglu_c		acglu_c								id in bigg						
iBT721	met	met__L_e		met__L_e								id in bigg						
iBT721	met	arab__L_c		arab__L_c								id in bigg						
iBT721	met	no3_e		no3_e								id in bigg						
iBT721	met	ser__L_e		ser__L_e								id in bigg						
iBT721	met	xu5p__D_c		xu5p__D_c								id in bigg						
iBT721	met	lac__L_c		lac__L_c								id in bigg						
iBT721	met	hmgcoa_c		hmgcoa_c								id in bigg						
iBT721	met	gam1p_c		gam1p_c								id in bigg						
iBT721	met	duri_c		duri_c								id in bigg						
iBT721	met	acp_c		acp_c								id in bigg						
iBT721	met	acald_e		acald_e								id in bigg						
