model	type	id_in_tp	new_id	id_in_bigg	name	formula	charge	metabolites	reactions	bounds	gpr	descripation	old_bigg_ids	feature_tp	feature_bigg	diff	notes	annotation
iBT721	met	10fthf_c		10fthf_c	10-Formyltetrahydrofolate	C20H21N7O7						id in bigg						{}
iBT721	met	13dpg_c		13dpg_c	3-Phospho-D-glyceroyl phosphate	C3H4O10P2						id in bigg						{}
iBT721	met	13ppd_c		13ppd_c	Propane_1_3_diol	X						id in bigg						{}
iBT721	met	1pyr5c_c		1pyr5c_c	1-Pyrroline-5-carboxylate	C5H6NO2						id in bigg						{}
iBT721	met	23dhdp_c		23dhdp_c	2,3-Dihydrodipicolinate	C7H5NO4						id in bigg						{}
iBT721	met	25aics_c		25aics_c	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P						id in bigg						{}
iBT721	met	26dap__LL_c	26dap_LL_c	26dap_LL_c	LL-2,6-Diaminoheptanedioate	C7H14N2O4						id in old_bigg_ids	26dap-LL[c]; 26dap_DASH_LL_c; 26dap_LL; 26dap_LL[c]; 26dap_LL_c; 26dap__LL_c; _26dap_LL_c				replaced_id(in_old_id)	{}
iBT721	met	26dap__M_c		26dap__M_c	meso-2,6-Diaminoheptanedioate	C7H14N2O4						id in bigg						{}
iBT721	met	2aeppn_c		2aeppn_c	2_Aminoethyl_phosphonate	X						id in bigg						{}
iBT721	met	2aeppn_e		2aeppn_e	2_Aminoethyl_phosphonate	X						id in bigg						{}
iBT721	met	2ahbut_c		2ahbut_c	(S)-2-Aceto-2-hydroxybutanoate	C6H9O4						id in bigg						{}
iBT721	met	2ahhmd_c		2ahhmd_c	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate	C7H8N5O8P2						id in bigg						{}
iBT721	met	2ahhmp_c		2ahhmp_c	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	C7H9N5O2						id in bigg						{}
iBT721	met	2beacp_c		2beacp_c	But_2_enoyl_acyl_carrier_protein	C4H4OX						id in bigg						{}
iBT721	met	2c25dho_c	4cml_c	4cml_c	2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate	C7H6O6						id in old_bigg_ids	2c25dho; 2c25dho_c; 4cml; 4cml_c				replaced_id(in_old_id)	{}
iBT721	met	2chdeacp_c		2chdeacp_c	cis_Hexadec_2_enoyl_acyl_carrier_protein	C16H28OX						id in bigg						{}
iBT721	met	2cocdacp_c		2cocdacp_c	cis_Octadec_2_enoyl_acyl_carrier_protein	C18H32OX						id in bigg						{}
iBT721	met	2cpr5p_c		2cpr5p_c	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	C12H13NO9P						id in bigg						{}
iBT721	met	2dda7p_c		2dda7p_c	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	C7H10O10P						id in bigg						{}
iBT721	met	2ddg6p_c		2ddg6p_c	2-Dehydro-3-deoxy-D-gluconate 6-phosphate	C6H8O9P						id in bigg						{}
iBT721	met	2ddglcn_c		2ddglcn_c	2-Dehydro-3-deoxy-D-gluconate	C6H9O6						id in bigg						{}
iBT721	met	2dhp_c		2dhp_c	2-Dehydropantoate	C6H9O4						id in bigg						{}
iBT721	met	2dr1p_c		2dr1p_c	2-Deoxy-D-ribose 1-phosphate	C5H9O7P						id in bigg						{}
iBT721	met	2dr5p_c		2dr5p_c	2-Deoxy-D-ribose 5-phosphate	C5H9O7P						id in bigg						{}
iBT721	met	2hxic__L_c		2hxic__L_c	L_2_hydroxyisocaproate	C6H11O3						id in bigg						{}
iBT721	met	2hxic__L_e		2hxic__L_e	L_2_hydroxyisocaproate	C6H11O3						id in bigg						{}
iBT721	met	2ins_c		2ins_c	2-Inosose	C6H10O6						id in bigg						{}
iBT721	met	2mahmp_c		2mahmp_c	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H8N3O7P2						id in bigg						{}
iBT721	met	2mba_c		2mba_c	2_methyl_butanoic_acid	X						id in bigg						{}
iBT721	met	2mba_e		2mba_e	2_methyl_butanoic_acid	X						id in bigg						{}
iBT721	met	2mbal_c	2mbald_c	2mbald_c	2_Methylbutanal	X						id in old_bigg_ids	2mbal; 2mbal_c; 2mbald; 2mbald_c				replaced_id(in_old_id)	{}
iBT721	met	2mbal_e	2mbald_e	2mbald_e	2_Methylbutanal	X						id in old_bigg_ids	2mbal; 2mbal_e; 2mbald; 2mbald_e				replaced_id(in_old_id)	{}
iBT721	met	2mbol_c			2_methylbutanol	X						not in bigg						{}
iBT721	met	2mbol_e			2_methylbutanol	X						not in bigg						{}
iBT721	met	2mop_c		2mop_c	2-methyl-3-oxopropanoate	C4H5O3						id in bigg						{}
iBT721	met	2mpal_c			2_methylpropanal	X						not in bigg						{}
iBT721	met	2mpal_e			2_methylpropanal	X						not in bigg						{}
iBT721	met	2mpol_c			2_methylpropanol	X						not in bigg						{}
iBT721	met	2mpol_e			2_methylpropanol	X						not in bigg						{}
iBT721	met	2obut_c		2obut_c	2-Oxobutanoate	C4H5O3						id in bigg						{}
iBT721	met	2oph_c		2oph_c	2-Octaprenylphenol	C46H70O						id in bigg						{}
iBT721	met	2p4c2me_c		2p4c2me_c	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H22N3O17P3						id in bigg						{}
iBT721	met	2pg_c		2pg_c	D-Glycerate 2-phosphate	C3H4O7P						id in bigg						{}
iBT721	met	2pglyc_c		2pglyc_c	2-Phosphoglycolate	C2H2O6P						id in bigg						{}
iBT721	met	2tddacp_c		2tddacp_c	trans_Dodec_2_enoyl_acyl_carrier_protein	C12H20OX						id in bigg						{}
iBT721	met	2tdeacp_c		2tdeacp_c	trans_Dec_2_enoyl_acyl_carrier_protein	C10H16OX						id in bigg						{}
iBT721	met	2thdeacp_c		2thdeacp_c	trans_Hexadec_2_enoyl_acyl_carrier_protein	C16H28OX						id in bigg						{}
iBT721	met	2theacp_c		2theacp_c	trans_Hex_2_enoyl_acp	C6H8OX						id in bigg						{}
iBT721	met	2tocdacp_c		2tocdacp_c	trans_Octadec_2_enoyl_acyl_carrier_protein	C18H32OX						id in bigg						{}
iBT721	met	2toceacp_c		2toceacp_c	trans_Oct_2_enoyl_acp	C8H12OX						id in bigg						{}
iBT721	met	2ttdeacp_c		2ttdeacp_c	trans_Tetradec_2_enoyl_acyl_carrier_protein	C14H24OX						id in bigg						{}
iBT721	met	34dhpha_c		34dhpha_c	(3,4-dihydroxyphenyl)acetate	C8H7O4						id in bigg						{}
iBT721	met	34hplac_c			R__3__4_Hydroxyphenyl_lactate	X						not in bigg						{}
