# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000010005.1	PRJNA224116	SAMD00060920		na	557433	1598	Lactobacillus reuteri JCM 1112	strain=JCM 1112		latest	Complete Genome	Major	Full	2008/04/15	ASM1000v1	Kitasato Institute for Life Sciences	GCA_000010005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/005/GCF_000010005.1_ASM1000v1		assembly from type material
GCF_000016825.1	PRJNA224116	SAMN02598351		representative genome	557436	1598	Lactobacillus reuteri DSM 20016	strain=DSM 20016		latest	Complete Genome	Major	Full	2007/06/01	ASM1682v1	US DOE Joint Genome Institute	GCA_000016825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/825/GCF_000016825.1_ASM1682v1		assembly from type material
GCF_000159455.2	PRJNA224116	SAMN00001494		na	491077	1598	Lactobacillus reuteri SD2112	strain=SD2112		latest	Complete Genome	Major	Full	2011/06/20	ASM15945v2	Baylor College of Medicine	GCA_000159455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/455/GCF_000159455.2_ASM15945v2		
GCF_000159475.2	PRJNA224116	SAMN00001504	ACGX00000000.2	na	548485	1598	Lactobacillus reuteri MM4-1A	strain=MM4-1A		latest	Contig	Major	Full	2011/03/01	ASM15947v2	Human Microbiome Project	GCA_000159475.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/475/GCF_000159475.2_ASM15947v2		
GCF_000159615.1	PRJNA224116	SAMN00001503	ACHG00000000.1	na	525341	1598	Lactobacillus reuteri CF48-3A	strain=CF48-3A		latest	Scaffold	Major	Full	2009/07/07	ASM15961v1	BCM	GCA_000159615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/615/GCF_000159615.1_ASM15961v1		
GCF_000160715.1	PRJNA224116	SAMN00002242	ACLB00000000.1	na	585517	1598	Lactobacillus reuteri MM2-3	strain=MM2-3		latest	Scaffold	Major	Full	2009/07/07	ASM16071v1	Baylor College of Medicine	GCA_000160715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/715/GCF_000160715.1_ASM16071v1		
GCF_000168255.1	PRJNA224116	SAMN00623049	AAPZ00000000.2	na	349123	1598	Lactobacillus reuteri 100-23	strain=100-23		latest	Contig	Major	Full	2008/07/25	ASM16825v1	DOE Joint Genome Institute	GCA_000168255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/255/GCF_000168255.1_ASM16825v1		
GCF_000179435.1	PRJNA224116	SAMN02471903	AEAW00000000.1	na	863369	1598	Lactobacillus reuteri mlc3	strain=mlc3		latest	Contig	Major	Full	2010/07/13	ASM17943v1	Department of Food Science and Technology, Univ. Nebraska Lincoln	GCA_000179435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/435/GCF_000179435.1_ASM17943v1		
GCF_000179455.1	PRJNA224116	SAMN02471904	AEAX00000000.1	na	863368	1598	Lactobacillus reuteri lpuph	strain=lpuph		latest	Contig	Major	Full	2010/07/13	ASM17945v1	Department of Food Science and Technology, Univ. Nebraska Lincoln	GCA_000179455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/455/GCF_000179455.1_ASM17945v1		
GCF_000236455.2	PRJNA224116	SAMEA2272605		na	927703	1598	Lactobacillus reuteri ATCC 53608	strain=ATCC 53608		latest	Complete Genome	Major	Full	2015/11/17	ASM23645v2	Norwich Research Park, The Genome Analysis Centre, Colney, Norwich NR4 7UH, UNITED KINGDOM	GCA_000236455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/455/GCF_000236455.2_ASM23645v2		
GCF_000410995.1	PRJNA224116	SAMN02603119		na	1340495	1598	Lactobacillus reuteri I5007	strain=I5007		latest	Complete Genome	Major	Full	2013/06/14	ASM41099v1	China Agricultural University	GCA_000410995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/410/995/GCF_000410995.1_ASM41099v1		
