LLMG_RS00005	MBLCLPDI_00001	4.3e-115	47.9	451	407.9	63.9	99.1
LLMG_RS00010	MBLCLPDI_00002	3.9e-77	41.9	384	281.6	64.1	99.5
LLMG_RS00015	MBLCLPDI_00054	3.5e-62	23.2	1151	233.4	43.3	91.0
LLMG_RS00020	MBLCLPDI_00055	4.5e-127	28.5	1405	449.1	47.5	99.0
LLMG_RS00025	MBLCLPDI_00114	1.3e-12	50.0	66	64.7	62.1	100.0
LLMG_RS00030	MBLCLPDI_00016	2.7e-07	30.4	102	48.5	50.0	49.7
LLMG_RS00030	MBLCLPDI_01829	4.6e-07	44.9	49	47.8	67.3	26.5
LLMG_RS00035	MBLCLPDI_00115	2.1e-136	65.2	371	478.4	83.0	100.0
LLMG_RS00040	MBLCLPDI_00016	1.7e-09	44.1	68	55.1	63.2	63.6
LLMG_RS00040	MBLCLPDI_01952	4.1e-08	31.1	106	50.4	58.5	97.2
LLMG_RS00040	MBLCLPDI_01829	5.4e-08	53.3	45	50.1	75.6	42.1
LLMG_RS00050	MBLCLPDI_01979	5.6e-01	29.8	57	27.3	56.1	34.2
LLMG_RS00055	MBLCLPDI_00279	4.5e-50	48.9	186	190.7	70.4	98.9
LLMG_RS00060	MBLCLPDI_00280	2.7e-294	46.3	1162	1004.6	66.8	98.0
LLMG_RS00065	MBLCLPDI_00281	2.2e-22	61.0	82	97.8	78.0	78.1
LLMG_RS00085	MBLCLPDI_00284	1.8e-43	28.0	422	169.9	48.8	89.6
LLMG_RS00090	MBLCLPDI_00285	1.4e-51	53.7	177	195.7	75.1	96.2
LLMG_RS00095	MBLCLPDI_00286	7.3e-207	59.2	666	713.4	74.5	94.7
LLMG_RS00145	MBLCLPDI_01686	7.7e-01	32.7	49	28.9	59.2	7.6
LLMG_RS00180	MBLCLPDI_00747	7.9e-15	25.3	229	75.1	45.0	41.0
LLMG_RS00235	MBLCLPDI_01829	1.3e-03	35.6	45	35.8	62.2	34.6
LLMG_RS00235	MBLCLPDI_00016	1.1e-02	25.5	51	32.7	62.7	39.2
LLMG_RS00235	MBLCLPDI_01952	1.1e-02	24.5	53	32.7	58.5	40.8
LLMG_RS00285	MBLCLPDI_01175	9.9e-95	45.7	407	340.1	63.6	100.0
LLMG_RS00285	MBLCLPDI_01511	2.9e-94	44.5	407	338.6	63.9	99.5
LLMG_RS00290	MBLCLPDI_01174	1.7e-65	48.2	247	242.3	68.8	98.0
LLMG_RS00310	MBLCLPDI_00794	2.2e-22	25.5	372	99.8	43.5	89.8
LLMG_RS00315	MBLCLPDI_00253	6.2e-33	34.6	231	134.0	54.1	95.4
LLMG_RS00355	MBLCLPDI_00163	1.1e-02	25.3	95	34.3	47.4	22.0
LLMG_RS00355	MBLCLPDI_01147	1.1e-02	25.3	95	34.3	47.4	22.0
LLMG_RS00370	MBLCLPDI_00832	2.3e-101	48.7	386	362.1	68.9	98.5
LLMG_RS00370	MBLCLPDI_00048	6.3e-99	47.4	390	354.0	63.8	99.2
LLMG_RS00370	MBLCLPDI_00699	2.0e-97	45.5	385	349.0	67.8	98.5
LLMG_RS00375	MBLCLPDI_00827	4.9e-44	34.9	241	171.0	58.9	95.2
LLMG_RS00390	MBLCLPDI_00716	7.6e-131	50.1	479	460.3	68.5	99.2
LLMG_RS00395	MBLCLPDI_00715	6.8e-88	48.1	443	317.8	61.4	80.2
LLMG_RS00400	MBLCLPDI_00714	5.6e-109	59.4	325	387.1	76.3	99.7
LLMG_RS00405	MBLCLPDI_00713	3.1e-95	50.3	350	341.7	70.0	93.3
LLMG_RS00410	MBLCLPDI_01833	6.7e-65	36.4	335	240.7	58.8	97.6
LLMG_RS00415	MBLCLPDI_00070	4.4e-09	19.9	236	55.1	42.8	81.7
LLMG_RS00420	MBLCLPDI_01022	1.1e-33	38.9	193	136.3	59.6	88.9
LLMG_RS00430	MBLCLPDI_00221	6.0e-138	70.1	338	483.4	84.9	99.1
LLMG_RS00440	MBLCLPDI_01841	5.7e-64	36.7	414	238.0	59.7	90.2
LLMG_RS00450	MBLCLPDI_01293	4.3e-80	48.1	337	291.2	65.6	99.7
LLMG_RS00455	MBLCLPDI_00595	9.0e-28	28.6	280	117.1	51.1	98.9
LLMG_RS00460	MBLCLPDI_00381	1.1e-69	30.2	547	257.3	51.0	99.1
LLMG_RS00470	MBLCLPDI_00742	3.4e-22	32.6	181	98.6	51.4	62.8
LLMG_RS00475	MBLCLPDI_00491	2.5e-08	26.8	168	52.0	45.2	85.2
LLMG_RS00475	MBLCLPDI_01508	2.5e-08	26.8	168	52.0	45.2	85.2
LLMG_RS00480	MBLCLPDI_01749	2.8e-36	37.9	211	145.2	57.3	87.2
LLMG_RS00480	MBLCLPDI_01092	2.4e-32	36.5	203	132.1	56.2	83.9
LLMG_RS00495	MBLCLPDI_00320	2.1e-63	35.5	420	236.1	52.1	98.6
LLMG_RS00500	MBLCLPDI_00742	1.9e-25	33.7	184	109.4	52.7	63.5
LLMG_RS00505	MBLCLPDI_01427	1.7e-15	29.4	153	75.5	57.5	98.1
LLMG_RS00530	MBLCLPDI_01345	1.2e-07	53.1	49	47.8	67.3	100.0
LLMG_RS00535	MBLCLPDI_01364	2.4e-07	49.1	57	47.0	57.9	98.2
