,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature_tp,feature_bigg,other
0,rea,2H3MBDH,2H3MBDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
1,rea,2H3MPDH,2H3MPDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
2,rea,2HXICDH,2HXICDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
3,rea,2MBALDH,2MBALDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
4,rea,2MBALDt,2MBALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
5,rea,2MBAt6,2MBAt6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
6,rea,2MPAt6,2MPAt6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
7,rea,2S6HCCi,2S6HCCi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
8,rea,3MBALt,3MBALt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
9,rea,3MBAt6,3MBAt6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
10,rea,4ABZt,4ABZt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
11,rea,AALDH,AALDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
12,rea,ABUTt2r,ABUTt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
13,rea,ACACT1r,ACACT1r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
14,rea,ACALD,ACALD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
15,rea,ACALDt,ACALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
16,rea,ACKr,ACKr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
17,rea,ACOATA,ACOATA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
18,rea,ACONT,ACONT,id in bigg(bounds different),,"(0.0, 0.0)","(0.0, 1000.0)",
19,rea,ACOTA,ACOTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
20,rea,ACTD,ACTD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
21,rea,ACTNdiff,ACTNdiff,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
22,rea,ACt2r,ACt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
23,rea,ADADir,ADADir,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
24,rea,ADEt2,ADEt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
25,rea,ADK1,ADK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
26,rea,ADK2,ADK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
27,rea,ADPTA,ADPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
28,rea,AGPR,AGPR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
29,rea,AHSERL2,AHSERL2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
30,rea,AICART,AICART,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
31,rea,AKGt2r,AKGt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
32,rea,ALAALAr,ALAALAr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
33,rea,ALAR,ALAR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
34,rea,ALATA_L,ALATA_L,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
35,rea,ALCD19,ALCD19,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
36,rea,ALCD2x,ALCD2x,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
37,rea,APATi,APATi,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
38,rea,ARAT,ARAT,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
39,rea,ARGORNt3,ARGORNt3,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
40,rea,ARGSL,ARGSL,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
41,rea,ASAD,ASAD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
42,rea,ASPK,ASPK,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
43,rea,ASPR,ASPR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
44,rea,ASPTA,ASPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
45,rea,ASPTA2,ASPTA2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
46,rea,ASPTA4,ASPTA4,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
47,rea,ATPS3r,ATPS3r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
