,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature1,feature2,other
0,rea,2HXICDH,2HXICDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
1,rea,2MBALDH,2MBALDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
2,rea,2MBAt6,2MBAt6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
3,rea,3MBALt,3MBALt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
4,rea,AALDH,AALDH,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
5,rea,ABUTt2r,ABUTt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
6,rea,ACALD,ACALD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
7,rea,ACALDt,ACALDt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
8,rea,ACKr,ACKr,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
9,rea,ACOTA,ACOTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
10,rea,ACTNdiff,ACTNdiff,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
11,rea,ACt2r,ACt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
12,rea,ADEt2,ADEt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
13,rea,ADK1,ADK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
14,rea,ADK2,ADK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
15,rea,ADPTA,ADPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
16,rea,AGPR,AGPR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
17,rea,AICART,AICART,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
18,rea,ALAR,ALAR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
19,rea,ALATA_L,ALATA_L,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
20,rea,ALAt2r,ALAt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
21,rea,ALCD19,ALCD19,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
22,rea,ALCD2x,ALCD2x,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
23,rea,ARAB_Lt,ARAB_Lt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
24,rea,ARAI,ARAI,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
25,rea,ARGSL,ARGSL,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
26,rea,ARGt2r,ARGt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
27,rea,ASAD,ASAD,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
28,rea,ASPK,ASPK,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
29,rea,ASPR,ASPR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
30,rea,ASPTA,ASPTA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
31,rea,ASPTA2,ASPTA2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
32,rea,ASPTA4,ASPTA4,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
33,rea,ATPM,ATPM,id in bigg(bounds different),,"(8.43, 1000.0)","(0.0, 1000.0)",
34,rea,ATPS3r,ATPS3r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
35,rea,BZALt,BZALt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
36,rea,CITt2r,CITt2r,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
37,rea,CO2t,CO2t,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
38,rea,CYTK1,CYTK1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
39,rea,CYTK2,CYTK2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
40,rea,DAPE,DAPE,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
41,rea,DHAt,DHAt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
42,rea,DHFR,DHFR,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
43,rea,DHORD6,DHORD6,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
44,rea,DHORTS,DHORTS,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
45,rea,DIACTt,DIACTt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
46,rea,DTMPK,DTMPK,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
47,rea,DURIPP,DURIPP,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
48,rea,D_LACt2,D_LACt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
49,rea,ENO,ENO,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
50,rea,ETOHt,ETOHt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
51,rea,F6PA,F6PA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
52,rea,FABM1,FABM1,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
53,rea,FABM2,FABM2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
54,rea,FBA,FBA,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
55,rea,FOLt,FOLt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
56,rea,FORt2,FORt2,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
57,rea,FRDx,FRDx,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
58,rea,FUCt,FUCt,id in bigg(bounds different),,"(-1000.0, 1000.0)","(0.0, 1000.0)",
