# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	214	1056	-							HMPREF0536_RS05720	843		old_locus_tag=HMPREF0536_11100
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	214	1056	-	WP_003666918.1	WP_003666918.1		hypothetical protein			HMPREF0536_RS05720	843	280	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	1663	1893	-							HMPREF0536_RS05725	231		old_locus_tag=HMPREF0536_11101
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	1663	1893	-	WP_003666917.1	WP_003666917.1		hypothetical protein			HMPREF0536_RS05725	231	76	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	1960	2382	-							HMPREF0536_RS05730	423		old_locus_tag=HMPREF0536_11102
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	1960	2382	-	WP_003666916.1	WP_003666916.1		hypothetical protein			HMPREF0536_RS05730	423	140	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	2670	2981	-							HMPREF0536_RS05735	312		old_locus_tag=HMPREF0536_11104
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	2670	2981	-	WP_003666914.1	WP_003666914.1		hypothetical protein			HMPREF0536_RS05735	312	103	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	2981	3241	-							HMPREF0536_RS05740	261		old_locus_tag=HMPREF0536_11105
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	2981	3241	-	WP_003666913.1	WP_003666913.1		hypothetical protein			HMPREF0536_RS05740	261	86	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	3249	3437	-							HMPREF0536_RS05745	189		old_locus_tag=HMPREF0536_11106
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	3249	3437	-	WP_003666912.1	WP_003666912.1		hypothetical protein			HMPREF0536_RS05745	189	62	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	3437	3778	-							HMPREF0536_RS05750	342		old_locus_tag=HMPREF0536_11107
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	3437	3778	-	WP_003666911.1	WP_003666911.1		hypothetical protein			HMPREF0536_RS05750	342	113	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	3778	4038	-							HMPREF0536_RS05755	261		old_locus_tag=HMPREF0536_11108
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	3778	4038	-	WP_003666909.1	WP_003666909.1		hypothetical protein			HMPREF0536_RS05755	261	86	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4038	4232	-							HMPREF0536_RS05760	195		old_locus_tag=HMPREF0536_11109
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4038	4232	-	WP_003666908.1	WP_003666908.1		hypothetical protein			HMPREF0536_RS05760	195	64	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4428	4616	-							HMPREF0536_RS05765	189		
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4428	4616	-	WP_011953449.1	WP_011953449.1		hypothetical protein			HMPREF0536_RS05765	189	62	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4613	4891	-							HMPREF0536_RS05770	279		old_locus_tag=HMPREF0536_11111
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4613	4891	-	WP_003666905.1	WP_003666905.1		hypothetical protein			HMPREF0536_RS05770	279	92	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4967	5338	-							HMPREF0536_RS05775	372		old_locus_tag=HMPREF0536_11112
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	4967	5338	-	WP_003666903.1	WP_003666903.1		hypothetical protein			HMPREF0536_RS05775	372	123	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	5335	5664	-							HMPREF0536_RS05780	330		old_locus_tag=HMPREF0536_11113
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	5335	5664	-	WP_003666901.1	WP_003666901.1		hypothetical protein			HMPREF0536_RS05780	330	109	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	5657	6541	-							HMPREF0536_RS05785	885		old_locus_tag=HMPREF0536_11114
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	5657	6541	-	WP_003668034.1	WP_003668034.1		primosomal replication protein N			HMPREF0536_RS05785	885	294	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	6519	7343	-							HMPREF0536_RS05790	825		old_locus_tag=HMPREF0536_11115
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	6519	7343	-	WP_003668359.1	WP_003668359.1		hypothetical protein			HMPREF0536_RS05790	825	274	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	7327	8316	-							HMPREF0536_RS05795	990		old_locus_tag=HMPREF0536_11116
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	7327	8316	-	WP_003668360.1	WP_003668360.1		DNA recombination protein RecT			HMPREF0536_RS05795	990	329	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	8309	8539	-							HMPREF0536_RS05800	231		old_locus_tag=HMPREF0536_11117
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	8309	8539	-	WP_003666975.1	WP_003666975.1		hypothetical protein			HMPREF0536_RS05800	231	76	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	8575	8760	-							HMPREF0536_RS05805	186		old_locus_tag=HMPREF0536_11118
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	8575	8760	-	WP_003666974.1	WP_003666974.1		hypothetical protein			HMPREF0536_RS05805	186	61	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	8813	9319	+							HMPREF0536_RS05810	507		old_locus_tag=HMPREF0536_11119
CDS	with_protein	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	8813	9319	+	WP_003666973.1	WP_003666973.1		hypothetical protein			HMPREF0536_RS05810	507	168	
gene	protein_coding	GCF_000159475.2	Primary Assembly	unplaced scaffold		NZ_ACGX02000007.1	9599	9877	-							HMPREF0536_RS05815	279		old_locus_tag=HMPREF0536_11122
